gw_timestamp,time_stamp,err_flag,wind_velocity,wind_direction,temperature,humidity,air_pressure,illuminance,rain_level,ultra_violet_a,ultra_violet_b,acceleration_x,acceleration_y,acceleration_z,inclination_xz,inclination_yz,max_wind_velocity,direct_max_wind_velocity,max_inst_wind_velocity,direct_max_inst_wind_velocity,,,,,
2022-02-05 16:20:25 +07,2022-02-05 16:20:25 +07,0,2.487,1111936205,31,67,1009,25596,0,10.38,0.21,0,0,1,4.2,6.7,0,0,0,0,,,,,
2022-02-05 16:30:25 +07,2022-02-05 16:30:25 +07,0,0.725,1116707226,31,67,1009,23892,0,9.75,0.18,0,0,1,4.2,7,0,0,0,0,,,,,
2022-02-05 16:40:25 +07,2022-02-05 16:40:25 +07,0,1.939,1098697933,31,66,1009,22473,0,8.69,0.15,0,0,1,4.3,6.9,0,0,0,0,,,,,
2022-02-05 16:50:25 +07,2022-02-05 16:50:25 +07,0,1.98,1099798938,31,66,1009,22865,0,8.11,0.14,0,0,1,3.7,7,0,0,0,0,,,,,
2022-02-05 17:00:25 +07,2022-02-05 17:00:25 +07,0,0.921,1104569958,31,65,1009,20473,0,6.91,0.11,0,0,1,4,6.9,0,0,0,0,,,,,
2022-02-05 17:10:25 +07,2022-02-05 17:10:25 +07,0,0.245,0,31,65,1009,21295,0,6.16,0.1,0,0,1,3.8,6.7,0,0,0,0,,,,,
2022-02-05 17:20:25 +07,2022-02-05 17:20:25 +07,0,0.544,1113849856,31,65,1009,14074,0,4.85,0.07,0,0,1,4,7,0,0,0,0,,,,,
2022-02-05 17:30:25 +07,2022-02-05 17:30:25 +07,0,0.164,0,31,66,1009,9737,0,3.64,0.05,0,0,1,3.8,7,0,0,0,0,,,,,
2022-02-05 17:40:25 +07,2022-02-05 17:40:25 +07,0,0.446,1115422720,30,67,1009,6791,0,2.62,0.03,0,0,1,4.1,7.1,0,0,0,0,,,,,
2022-02-05 17:50:25 +07,2022-02-05 17:50:25 +07,0,0.213,0,30,67,1009,4310,0,1.79,0.02,0,0,1,3.9,7,0,0,0,0,,,,,
2022-02-05 18:00:25 +07,2022-02-05 18:00:25 +07,0,0.901,1116261581,30,67,1009,3034,0,1.1,0.01,0,0,1,4.1,6.7,0,0,0,0,,,,,
2022-02-05 18:10:25 +07,2022-02-05 18:10:25 +07,0,0.534,1118738842,30,68,1009,1410,0,0.53,0,0,0,1,4.1,7.1,0,0,0,0,,,,,
2022-02-05 18:20:25 +07,2022-02-05 18:20:25 +07,0,2.258,1100480512,30,68,1009,499,0,0.21,0,0,0,1,4.1,6.7,0,0,0,0,,,,,
2022-02-05 18:30:25 +07,2022-02-05 18:30:25 +07,0,0.35,1134559232,29,69,1010,62,0,0.07,0,0,0,1,4.1,7.2,0,0,0,0,,,,,
2022-02-05 18:40:25 +07,2022-02-05 18:40:25 +07,0,0.961,1103049523,29,69,1010,0,0,0.05,0,0,0,1,4.2,7.1,0,0,0,0,,,,,
2022-02-05 18:50:25 +07,2022-02-05 18:50:25 +07,0,0.339,1134336410,29,70,1010,0,0,0.04,0,0,0,1,4.1,6.9,0,0,0,0,,,,,
2022-02-05 19:00:25 +07,2022-02-05 19:00:25 +07,0,0.95,1133769523,29,71,1010,0,0,0.05,0,0,0,1,4,7.1,0,0,0,0,,,,,
2022-02-05 19:10:25 +07,2022-02-05 19:10:25 +07,0,0.963,1134975386,28,75,1010,0,0,0.05,0,0,0,1,4,7.3,0,0,0,0,,,,,
2022-02-05 19:20:25 +07,2022-02-05 19:20:25 +07,0,1.16,1128752742,27,77,1010,0,0,0.04,0,0,0,1,4.5,6.7,0,0,0,0,,,,,
2022-02-05 19:30:25 +07,2022-02-05 19:30:25 +07,0,0.966,1135044198,27,78,1010,0,0,0.03,0,0,0,1,4.1,7,0,0,0,0,,,,,
2022-02-05 19:40:25 +07,2022-02-05 19:40:25 +07,0,2.176,1133097779,27,78,1010,0,0,0.03,0,0,0,1,3.9,7.4,0,0,0,0,,,,,
2022-02-05 19:50:25 +07,2022-02-05 19:50:25 +07,0,2.084,1132724224,27,78,1010,0,0,0.03,0,0,0,1,3.9,7.2,0,0,0,0,,,,,
2022-02-05 20:00:25 +07,2022-02-05 20:00:25 +07,0,3.268,1134788608,27,77,1010,0,0,0.03,0,0,0,1,3.8,6.7,0,0,0,0,,,,,
2022-02-05 20:10:25 +07,2022-02-05 20:10:25 +07,0,0.586,1110153626,27,77,1010,0,0,0.05,0,0,0,1,4,6.8,0,0,0,0,,,,,
2022-02-05 20:20:25 +07,2022-02-05 20:20:25 +07,0,1.844,1134356070,27,77,1011,0,0,0.05,0,0,0,1,3.8,7.1,0,0,0,0,,,,,
2022-02-05 20:30:25 +07,2022-02-05 20:30:25 +07,0,2.179,1134274150,27,77,1011,0,0,0.05,0,0,0,1,4.1,6.9,0,0,0,0,,,,,
2022-02-05 20:40:25 +07,2022-02-05 20:40:25 +07,0,0.47,1072902963,27,77,1011,0,0,0.03,0,0,0,1,4.2,6.9,0,0,0,0,,,,,
2022-02-05 20:50:25 +07,2022-02-05 20:50:25 +07,0,3.17,1133487718,27,76,1011,0,0,0.03,0,0,0,1,4.1,7,0,0,0,0,,,,,
2022-02-05 21:00:25 +07,2022-02-05 21:00:25 +07,0,1.408,1132888064,27,76,1011,0,0,0.03,0,0,0,1,4.2,6.8,0,0,0,0,,,,,
2022-02-05 21:10:25 +07,2022-02-05 21:10:25 +07,0,1.508,1133723648,27,76,1011,0,0,0.03,0,0,0,1,4.1,7,0,0,0,0,,,,,
2022-02-05 21:20:25 +07,2022-02-05 21:20:25 +07,0,0.217,0,27,76,1011,0,0,0.03,0,0,0,1,3.8,7.5,0,0,0,0,,,,,
2022-02-05 21:30:25 +07,2022-02-05 21:30:25 +07,0,0.124,0,27,75,1011,0,0,0.03,0,0,0,1,4.2,6.9,0,0,0,0,,,,,
2022-02-05 21:40:25 +07,2022-02-05 21:40:25 +07,0,2.218,1134061158,27,75,1011,0,0,0.03,0,0,0,1,4.2,6.8,0,0,0,0,,,,,
2022-02-05 21:50:25 +07,2022-02-05 21:50:25 +07,0,2.289,1134454374,27,75,1011,0,0,0.03,0,0,0,1,4,6.9,0,0,0,0,,,,,
2022-02-05 22:00:25 +07,2022-02-05 22:00:25 +07,0,2.127,1134949171,27,76,1011,0,0,0.02,0,0,0,1,4,7,0,0,0,0,,,,,
2022-02-05 22:10:25 +07,2022-02-05 22:10:25 +07,0,1.597,1131623219,26,76,1012,0,0,0.03,0,0,0,1,4.5,7.3,0,0,0,0,,,,,
2022-02-05 22:20:25 +07,2022-02-05 22:20:25 +07,0,0.415,1101738803,26,77,1012,0,0,0.03,0,0,0,1,4.1,7,0,0,0,0,,,,,
2022-02-05 22:30:25 +07,2022-02-05 22:30:25 +07,0,1.469,1107086541,26,76,1012,0,0,0.03,0,0,0,1,4.1,6.8,0,0,0,0,,,,,
2022-02-05 22:40:25 +07,2022-02-05 22:40:25 +07,0,0.509,1134126694,26,77,1012,0,0,0.03,0,0,0,1,4.1,7.1,0,0,0,0,,,,,
2022-02-05 22:50:25 +07,2022-02-05 22:50:25 +07,0,0.257,0,26,77,1011,0,0,0.03,0,0,0,1,3.9,6.7,0,0,0,0,,,,,
2022-02-05 23:00:25 +07,2022-02-05 23:00:25 +07,0,0.757,1106404966,26,76,1011,0,0,0.03,0,0,0,1,3.8,7,0,0,0,0,,,,,
2022-02-05 23:10:25 +07,2022-02-05 23:10:25 +07,0,0.313,1135368602,26,76,1011,0,0,0.03,0,0,0,1,4.3,6.8,0,0,0,0,,,,,
2022-02-05 23:20:25 +07,2022-02-05 23:20:25 +07,0,0.524,1113744998,26,76,1012,0,0,0.03,0,0,0,1,4,6.9,0,0,0,0,,,,,
2022-02-05 23:30:25 +07,2022-02-05 23:30:25 +07,0,0.073,0,26,75,1011,0,0,0.03,0,0,0,1,4.1,7,0,0,0,0,,,,,
